date,Ipop,E[Ipop],V[Ipop],
20070301,-9999,-2.86146776127e-06,-9999,
20070302,-9999,-2.86146776127e-06,-9999,
20070303,-9999,-2.86146776127e-06,-9999,
20070304,-9999,-2.86146776127e-06,-9999,
20070305,0.000125291328876,-2.86146776127e-06,6.08344773411e-10,
20070306,-9999,-2.86146776127e-06,-9999,
20070307,-9999,-2.86146776127e-06,-9999,
20070308,0.00012531181776,-2.86146776127e-06,6.08144584443e-10,
20070309,-9999,-2.86146776127e-06,-9999,
20070310,-9999,-2.86146776127e-06,-9999,
20070311,-9999,-2.86146776127e-06,-9999,
20070312,-9999,-2.86146776127e-06,-9999,
20070313,-9999,-2.86146776127e-06,-9999,
20070314,-0.00015797238774,-2.86146776127e-06,6.08144584443e-10,
20070315,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070316,-9999,-2.86146776127e-06,-9999,
20070317,-9999,-2.86146776127e-06,-9999,
20070318,-9999,-2.86146776127e-06,-9999,
20070319,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070320,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070321,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070322,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070323,-9999,-2.86146776127e-06,-9999,
20070324,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070325,-9999,-2.86146776127e-06,-9999,
20070326,-0.000566568411,-2.86146776127e-06,6.08144584443e-10,
20070327,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070328,-9999,-2.86146776127e-06,-9999,
20070329,-0.00128999536739,-2.86146776127e-06,6.08144584443e-10,
20070330,-0.0002832842055,-2.86146776127e-06,6.08144584443e-10,
20070331,-0.00044181357486,-2.86146776127e-06,6.08144584443e-10,
20070401,-0.00128999536739,-2.86146776127e-06,6.08144584443e-10,
20070402,-0.000765953384385,-2.86146776127e-06,6.08144584443e-10,
20070403,-0.00133252179538,-2.86146776127e-06,6.08144584443e-10,
20070404,-0.00107203240259,-2.86146776127e-06,6.08144584443e-10,
20070405,0.00258169163668,-2.86146776127e-06,6.08144584443e-10,
20070406,-0.00126111396151,-2.86146776127e-06,6.08144584443e-10,
20070407,-0.00201429751729,-2.86146776127e-06,6.08144584443e-10,
20070408,-0.00163585590865,-2.86146776127e-06,6.08144584443e-10,
20070409,-0.0023029522284,-2.86146776127e-06,6.08144584443e-10,
20070410,-0.00200355646577,-2.86146776127e-06,6.08144584443e-10,
20070411,-0.001894117516,-2.86146776127e-06,6.08144584443e-10,
20070412,0.00144688823286,-2.86146776127e-06,6.08144584443e-10,
20070413,-0.00123800091676,-2.86146776127e-06,6.08144584443e-10,
20070414,-0.00347260850871,-2.86146776127e-06,6.08144584443e-10,
20070415,-0.00169636358507,-2.86146776127e-06,6.08144584443e-10,
20070416,0.00270279365944,-2.86146776127e-06,6.08144584443e-10,
20070417,0.00403303107737,-2.86146776127e-06,6.08144584443e-10,
20070418,0.00689798612465,-2.86146776127e-06,6.08144584443e-10,
20070419,-0.00201784292464,-2.86146776127e-06,6.08144584443e-10,
20070420,-0.00349838683491,-2.86146776127e-06,6.08144584443e-10,
20070421,0.011646779022,-2.86146776127e-06,6.08144584443e-10,
20070422,0.00494581999247,-2.86146776127e-06,6.08144584443e-10,
20070423,0.0119096768647,-2.86146776127e-06,6.08144584443e-10,
20070424,0.00425124563912,-2.86146776127e-06,6.08144584443e-10,
20070425,0.00517818197977,-2.86146776127e-06,6.08144584443e-10,
20070426,0.00496256008533,-2.86146776127e-06,6.08144584443e-10,
20070427,0.00206866065498,-2.86146776127e-06,6.08144584443e-10,
20070428,-0.000286796357612,-2.86146776127e-06,6.08144584443e-10,
20070429,0.0187037596134,-2.86146776127e-06,6.08144584443e-10,
20070430,0.00182129522921,-2.86146776127e-06,6.08144584443e-10,
20070501,-0.00226649090071,-2.86146776127e-06,6.08144584443e-10,
20070502,0.0110632711555,-2.86146776127e-06,6.08144584443e-10,
20070503,0.00699650664568,-2.86146776127e-06,6.08144584443e-10,
20070504,0.0067148661974,-2.86146776127e-06,6.08144584443e-10,
20070505,0.00167704789333,-2.86146776127e-06,6.08144584443e-10,
20070506,0.025304499018,-2.86146776127e-06,6.08144584443e-10,
20070507,3.25741471445e-05,-2.86146776127e-06,6.08144584443e-10,
20070508,0.0175869967238,-2.86146776127e-06,6.08144584443e-10,
20070509,0.0070042108355,-2.86146776127e-06,6.08144584443e-10,
20070510,0.0174865272111,-2.86146776127e-06,6.08144584443e-10,
20070511,0.0163997059248,-2.86146776127e-06,6.08144584443e-10,
20070512,0.0111509008118,-2.86146776127e-06,6.08144584443e-10,
20070513,0.0270088018592,-2.86146776127e-06,6.08144584443e-10,
20070514,0.0403765156606,-2.86146776127e-06,6.08144584443e-10,
20070515,0.0320607472954,-2.86146776127e-06,6.08144584443e-10,
20070516,0.0538301106537,-2.86146776127e-06,6.08144584443e-10,
20070517,0.0616973923272,-2.86146776127e-06,6.08144584443e-10,
20070518,0.0377936320901,-2.86146776127e-06,6.08144584443e-10,
20070519,0.0633791659139,-2.86146776127e-06,6.08144584443e-10,
20070520,0.0435957774389,-2.86146776127e-06,6.08144584443e-10,
20070521,0.0620617820406,-2.86146776127e-06,6.08144584443e-10,
20070522,0.0488247953266,-2.86146776127e-06,6.08144584443e-10,
20070523,0.0600866367933,-2.86146776127e-06,6.08144584443e-10,
20070524,0.0464431100067,-2.86146776127e-06,6.08144584443e-10,
20070525,0.0643576218716,-2.86146776127e-06,6.08144584443e-10,
20070526,0.0563711191002,-2.86146776127e-06,6.08144584443e-10,
20070527,0.0570850179094,-2.86146776127e-06,6.08144584443e-10,
20070528,0.0651686250359,-2.86146776127e-06,6.08144584443e-10,
20070529,0.086946710512,-2.86146776127e-06,6.08144584443e-10,
20070530,0.102448805504,-2.86146776127e-06,6.08144584443e-10,
20070531,0.0907943071425,-2.86146776127e-06,6.08144584443e-10,
20070601,0.0954680404317,-2.86146776127e-06,6.08144584443e-10,
20070602,0.0818511445952,-2.86146776127e-06,6.08144584443e-10,
20070603,0.117997102368,-2.86146776127e-06,6.08144584443e-10,
20070604,0.11625014365,-2.86146776127e-06,6.08144584443e-10,
20070605,0.112980156616,-2.86146776127e-06,6.08144584443e-10,
20070606,0.128401311554,-2.86146776127e-06,6.08144584443e-10,
20070607,0.140914518456,-2.86146776127e-06,6.08144584443e-10,
20070608,0.121138268935,-2.86146776127e-06,6.08144584443e-10,
20070609,0.151279061299,-2.86146776127e-06,6.08144584443e-10,
20070610,0.113309691996,-2.86146776127e-06,6.08144584443e-10,
20070611,0.127287449064,-2.86146776127e-06,6.08144584443e-10,
20070612,0.126157548815,-2.86146776127e-06,6.08144584443e-10,
20070613,0.115251541163,-2.86146776127e-06,6.08144584443e-10,
20070614,0.110614934972,-2.86146776127e-06,6.08144584443e-10,
20070615,0.11266112966,-2.86146776127e-06,6.08144584443e-10,
20070616,0.0810802019158,-2.86146776127e-06,6.08144584443e-10,
